Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name,DTR Approved By,DTR Approved Date,DTR Status,Payroll Approved By,Payroll Approved Date,Payroll Status
10008-45503,10008,7/30/2024,8:10 AM,6:08 PM,Alice,Romualdez,,,,,,
10008-45504,10008,7/31/2024,8:37 AM,5:33 PM,Alice,Romualdez,,,,,,
10008-45505,10008,8/1/2024,10:34 AM,7:47 PM,Alice,Romualdez,,,,,,
10008-45506,10008,8/2/2024,10:45 AM,6:47 PM,Alice,Romualdez,,,,,,
10008-45509,10008,8/5/2024,10:22 AM,8:38 PM,Alice,Romualdez,,,,,,
10008-45510,10008,8/6/2024,10:11 AM,8:10 PM,Alice,Romualdez,,,,,,
10008-45511,10008,8/7/2024,10:51 AM,5:54 PM,Alice,Romualdez,,,,,,
10008-45512,10008,8/8/2024,9:27 AM,7:00 PM,Alice,Romualdez,,,,,,
10008-45513,10008,8/9/2024,10:05 AM,7:19 PM,Alice,Romualdez,,,,,,
10008-45516,10008,8/12/2024,8:56 AM,4:28 PM,Alice,Romualdez,,,,,,
10008-45517,10008,8/13/2024,9:40 AM,6:41 PM,Alice,Romualdez,,,,,,
10008-45518,10008,8/14/2024,8:02 AM,4:40 PM,Alice,Romualdez,,,,,,
10008-45519,10008,8/15/2024,9:14 AM,7:13 PM,Alice,Romualdez,,,,,,
10008-45520,10008,8/16/2024,8:51 AM,5:55 PM,Alice,Romualdez,,,,,,
10008-45523,10008,8/19/2024,10:23 AM,9:12 PM,Alice,Romualdez,,,,,,
10008-45524,10008,8/20/2024,9:37 AM,6:07 PM,Alice,Romualdez,,,,,,
10008-45525,10008,8/21/2024,10:52 AM,7:48 PM,Alice,Romualdez,,,,,,
10008-45526,10008,8/22/2024,9:17 AM,7:22 PM,Alice,Romualdez,,,,,,
10008-45527,10008,8/23/2024,9:09 AM,6:11 PM,Alice,Romualdez,,,,,,
10008-45530,10008,8/26/2024,10:00 AM,8:34 PM,Alice,Romualdez,,,,,,
10008-45531,10008,8/27/2024,10:04 AM,7:33 PM,Alice,Romualdez,,,,,,
10008-45532,10008,8/28/2024,8:29 AM,5:54 PM,Alice,Romualdez,,,,,,
10008-45533,10008,8/29/2024,10:23 AM,8:16 PM,Alice,Romualdez,,,,,,
10008-45534,10008,8/30/2024,10:32 AM,9:02 PM,Alice,Romualdez,,,,,,
10008-45537,10008,9/2/2024,10:18 AM,8:36 PM,Alice,Romualdez,,,,,,
10008-45538,10008,9/3/2024,9:01 AM,4:39 PM,Alice,Romualdez,,,,,,
10008-45539,10008,9/4/2024,8:39 AM,6:16 PM,Alice,Romualdez,,,,,,
10008-45540,10008,9/5/2024,9:24 AM,7:08 PM,Alice,Romualdez,,,,,,
10008-45541,10008,9/6/2024,9:29 AM,6:22 PM,Alice,Romualdez,,,,,,
10008-45544,10008,9/9/2024,8:54 AM,4:53 PM,Alice,Romualdez,,,,,,
10008-45545,10008,9/10/2024,9:02 AM,4:59 PM,Alice,Romualdez,,,,,,
10008-45546,10008,9/11/2024,8:37 AM,6:21 PM,Alice,Romualdez,,,,,,
10008-45547,10008,9/12/2024,8:22 AM,5:44 PM,Alice,Romualdez,,,,,,
10008-45548,10008,9/13/2024,8:13 AM,3:39 PM,Alice,Romualdez,,,,,,
10008-45551,10008,9/16/2024,8:05 AM,4:50 PM,Alice,Romualdez,,,,,,
10008-45552,10008,9/17/2024,10:07 AM,8:38 PM,Alice,Romualdez,,,,,,
10008-45553,10008,9/18/2024,8:53 AM,5:39 PM,Alice,Romualdez,,,,,,
10008-45554,10008,9/19/2024,8:51 AM,5:33 PM,Alice,Romualdez,,,,,,
10008-45555,10008,9/20/2024,9:56 AM,7:54 PM,Alice,Romualdez,,,,,,
10008-45558,10008,9/23/2024,8:49 AM,7:05 PM,Alice,Romualdez,,,,,,
10008-45559,10008,9/24/2024,9:40 AM,5:23 PM,Alice,Romualdez,,,,,,
10008-45560,10008,9/25/2024,10:05 AM,6:56 PM,Alice,Romualdez,,,,,,
10008-45561,10008,9/26/2024,9:11 AM,7:04 PM,Alice,Romualdez,,,,,,
10008-45562,10008,9/27/2024,9:23 AM,7:59 PM,Alice,Romualdez,,,,,,
10008-45565,10008,9/30/2024,8:57 AM,7:53 PM,Alice,Romualdez,,,,,,
10008-45566,10008,10/1/2024,8:22 AM,5:43 PM,Alice,Romualdez,,,,,,
10008-45567,10008,10/2/2024,8:14 AM,6:45 PM,Alice,Romualdez,,,,,,
10008-45568,10008,10/3/2024,8:04 AM,5:09 PM,Alice,Romualdez,,,,,,
10008-45569,10008,10/4/2024,10:21 AM,6:06 PM,Alice,Romualdez,,,,,,
10008-45572,10008,10/7/2024,8:19 AM,4:36 PM,Alice,Romualdez,,,,,,
10008-45573,10008,10/8/2024,9:43 AM,8:24 PM,Alice,Romualdez,,,,,,
10008-45574,10008,10/9/2024,8:37 AM,6:04 PM,Alice,Romualdez,,,,,,
10008-45575,10008,10/10/2024,10:55 AM,6:52 PM,Alice,Romualdez,,,,,,
10008-45576,10008,10/11/2024,9:21 AM,6:02 PM,Alice,Romualdez,,,,,,
10008-45579,10008,10/14/2024,8:49 AM,5:53 PM,Alice,Romualdez,,,,,,
10008-45580,10008,10/15/2024,10:38 AM,8:46 PM,Alice,Romualdez,,,,,,
10008-45581,10008,10/16/2024,8:54 AM,6:02 PM,Alice,Romualdez,,,,,,
10008-45582,10008,10/17/2024,8:16 AM,6:25 PM,Alice,Romualdez,,,,,,
10008-45583,10008,10/18/2024,8:44 AM,5:44 PM,Alice,Romualdez,,,,,,
10008-45586,10008,10/21/2024,10:30 AM,6:18 PM,Alice,Romualdez,,,,,,
10008-45587,10008,10/22/2024,8:09 AM,4:25 PM,Alice,Romualdez,,,,,,
10008-45588,10008,10/23/2024,10:41 AM,8:49 PM,Alice,Romualdez,,,,,,
10008-45589,10008,10/24/2024,9:54 AM,5:32 PM,Alice,Romualdez,,,,,,
10008-45590,10008,10/25/2024,10:28 AM,7:20 PM,Alice,Romualdez,,,,,,
10008-45593,10008,10/28/2024,9:47 AM,8:31 PM,Alice,Romualdez,,,,,,
10008-45594,10008,10/29/2024,8:30 AM,7:01 PM,Alice,Romualdez,,,,,,
10008-45595,10008,10/30/2024,8:35 AM,4:48 PM,Alice,Romualdez,,,,,,
10008-45596,10008,10/31/2024,10:58 AM,7:50 PM,Alice,Romualdez,,,,,,
10008-45597,10008,11/1/2024,9:43 AM,6:34 PM,Alice,Romualdez,,,,,,
10008-45600,10008,11/4/2024,9:57 AM,6:21 PM,Alice,Romualdez,,,,,,
10008-45601,10008,11/5/2024,9:02 AM,5:14 PM,Alice,Romualdez,,,,,,
10008-45602,10008,11/6/2024,8:56 AM,7:41 PM,Alice,Romualdez,,,,,,
10008-45603,10008,11/7/2024,9:17 AM,7:50 PM,Alice,Romualdez,,,,,,
10008-45604,10008,11/8/2024,9:55 AM,7:53 PM,Alice,Romualdez,,,,,,
10008-45607,10008,11/11/2024,9:28 AM,4:57 PM,Alice,Romualdez,,,,,,
10008-45608,10008,11/12/2024,8:50 AM,4:54 PM,Alice,Romualdez,,,,,,
10008-45609,10008,11/13/2024,10:52 AM,8:09 PM,Alice,Romualdez,,,,,,
10008-45610,10008,11/14/2024,10:25 AM,6:36 PM,Alice,Romualdez,,,,,,
10008-45611,10008,11/15/2024,10:16 AM,8:06 PM,Alice,Romualdez,,,,,,
10008-45614,10008,11/18/2024,8:17 AM,5:53 PM,Alice,Romualdez,,,,,,
10008-45615,10008,11/19/2024,9:44 AM,5:26 PM,Alice,Romualdez,,,,,,
10008-45616,10008,11/20/2024,9:09 AM,4:38 PM,Alice,Romualdez,,,,,,
10008-45617,10008,11/21/2024,9:37 AM,5:50 PM,Alice,Romualdez,,,,,,
10008-45618,10008,11/22/2024,9:48 AM,8:23 PM,Alice,Romualdez,,,,,,
10008-45621,10008,11/25/2024,8:13 AM,4:23 PM,Alice,Romualdez,,,,,,
10008-45622,10008,11/26/2024,9:53 AM,8:10 PM,Alice,Romualdez,,,,,,
10008-45623,10008,11/27/2024,10:04 AM,8:11 PM,Alice,Romualdez,,,,,,
10008-45624,10008,11/28/2024,9:37 AM,6:18 PM,Alice,Romualdez,,,,,,
10008-45625,10008,11/29/2024,8:45 AM,5:33 PM,Alice,Romualdez,,,,,,
10008-45628,10008,12/2/2024,9:30 AM,6:42 PM,Alice,Romualdez,,,,,,
10008-45629,10008,12/3/2024,10:49 AM,6:51 PM,Alice,Romualdez,,,,,,
10008-45630,10008,12/4/2024,10:29 AM,5:38 PM,Alice,Romualdez,,,,,,
10008-45631,10008,12/5/2024,10:10 AM,8:10 PM,Alice,Romualdez,,,,,,
10008-45632,10008,12/6/2024,8:48 AM,6:34 PM,Alice,Romualdez,,,,,,
10008-45635,10008,12/9/2024,9:45 AM,7:04 PM,Alice,Romualdez,,,,,,
10008-45636,10008,12/10/2024,8:21 AM,6:30 PM,Alice,Romualdez,,,,,,
10008-45637,10008,12/11/2024,10:34 AM,8:36 PM,Alice,Romualdez,,,,,,
10008-45638,10008,12/12/2024,8:04 AM,3:36 PM,Alice,Romualdez,,,,,,
10008-45639,10008,12/13/2024,8:44 AM,6:48 PM,Alice,Romualdez,,,,,,
10008-45642,10008,12/16/2024,10:39 AM,7:44 PM,Alice,Romualdez,,,,,,
10008-45643,10008,12/17/2024,9:06 AM,6:24 PM,Alice,Romualdez,,,,,,
10008-45644,10008,12/18/2024,8:30 AM,7:29 PM,Alice,Romualdez,,,,,,
10008-45645,10008,12/19/2024,9:50 AM,7:47 PM,Alice,Romualdez,,,,,,
10008-45646,10008,12/20/2024,8:43 AM,7:17 PM,Alice,Romualdez,,,,,,
10008-45649,10008,12/23/2024,10:23 AM,9:13 PM,Alice,Romualdez,,,,,,
10008-45650,10008,12/24/2024,9:17 AM,4:32 PM,Alice,Romualdez,,,,,,
10008-45651,10008,12/25/2024,10:58 AM,8:12 PM,Alice,Romualdez,,,,,,
10008-45652,10008,12/26/2024,10:52 AM,8:11 PM,Alice,Romualdez,,,,,,
10008-45653,10008,12/27/2024,10:25 AM,7:32 PM,Alice,Romualdez,,,,,,
10008-45656,10008,12/30/2024,10:41 AM,8:38 PM,Alice,Romualdez,,,,,,
10008-45657,10008,12/31/2024,8:15 AM,4:13 PM,Alice,Romualdez,,,,,,
